titulo;lengua;ubicacion
NACIONALIDAD  TSÃ^CHILA;Tsa´Fiki;SANTO DOMINGO DE LOS TSÃ^CHILAS
NACIONALIDAD ACHUAR;Achuar Chicham;PASTAZA / MORONA SANTIAGO
NACIONALIDAD ANDWA;Katsakati;PASTAZA
NACIONALIDAD AWÃ;Awapít;ESMERALDAS / CARCHI  / IMBABURA / SUCUMBÍOS
NACIONALIDAD Achuar Chicham;Achuar Chicham;PASTAZA / MORONA SANTIAGO
NACIONALIDAD Atupama Sapara;Atupama Sapara;PASTAZA
NACIONALIDAD Awapit;Awapit;ESMERALDAS / CARCHI / IMBABURA / SUCUMBÍOS
NACIONALIDAD A´I KOFÃN;A´Ingae;SUCUMBÍOS
NACIONALIDAD A´Ingae;A'ingae;SUCUMBÍOS
NACIONALIDAD Bai Coca;Bai Coca;SUCUMBÍOS
NACIONALIDAD CHACHI;Cha´palaa;ESMERALDAS
NACIONALIDAD Cha´palaa;Cha'palaa;ESMERALDAS
NACIONALIDAD EPERARA;SIAPEDEE;ESMERALDAS
NACIONALIDAD KICHWA;Kichwa;ECUADOR
NACIONALIDAD KICHWA ANDINO;Kichwa;CARCHI  / IMBABURA  / PICHINCHA  / COTOPAXI  / TUNGURAHUA  / BOLÍVAR  / CHIMBORAZO  / CAÑAR  / AZUAY
NACIONALIDAD Katsakati;Katsakati;PASTAZA
NACIONALIDAD Kichwa Amazónica;Kichwa;PASTAZA / NAPO / SUCUMBÍOS / ORELLANA
NACIONALIDAD Paaikoka;Paaikoka;SUCUMBÍOS
NACIONALIDAD SAPARA;Atupama Sapara;PASTAZA
NACIONALIDAD SHIWIAR;Shiwiar Chicham;PASTAZA
NACIONALIDAD SHUAR;Shuar Chicham;PASTAZA  / MORONA / SANTIAGO  / ORELLANA / SUCUMBÍOS  / ZAMORA CHINCHIPE
NACIONALIDAD SIAPEDEE;Siapedee;ESMERALDAS
NACIONALIDAD SIEKOPAAI;Paaikoka;SUCUMBÍOS
NACIONALIDAD SIONA;Bai Coca;SUCUMBÍOS
NACIONALIDAD Shiwiar Chicham;Shiwiar Chicham;PASTAZA
NACIONALIDAD Shuar Chicham;Shuar Chicham;PASTAZA / MORONA / SANTIAGO / ORELLANA / SUCUMBÍOS / ZAMORA CHINCHIPE
NACIONALIDAD Tsa´Fiki;Tsa'fiki;SANTO DOMINGO DE LOS TSÁCHILAS
NACIONALIDAD WAODANI;Waotededo;PASTAZA  / NAPO  / ORELLANA
NACIONALIDAD Waotededo;Waotededo;PASTAZA / NAPO / ORELLANA
PUEBLO AFRO Castellano;Castellano;REGIÓN COSTA / REGIÓN SIERRA / REGIÓN AMAZONÍA
PUEBLO AFROECUATORIANO;Castellano;REGIÓN COSTA / REGIÓN SIERRA / REGIÓN AMAZONÍA
PUEBLO Chibuleo;Kichwa;TUNGURAHUA
PUEBLO Huancavilca;Castellano;SANTA ELENA / GUAYAS
PUEBLO KICH Kichwa;Kichwa;PASTAZA / NAPO / SUCUMBÍOS / ORELLANA
PUEBLO KICHWA AMAZÓNICO;Kichwa;PASTAZA  / NAPO  / SUCUMBÍOS / ORELLANA
PUEBLO Karanki;Kichwa;IMBABURA
PUEBLO Kayambi;Kichwa;PICHINCHA / IMBABURA / NAPO
PUEBLO Kañari;Kañari / Kichwa;CAÑAR / AZUAY
PUEBLO Kisapincha;Kichwa;TUNGURAHUA
PUEBLO Kitu Kara;Kichwa;PICHINCHA
PUEBLO Manta;Castellano;MANABÍ
PUEBLO Natabuela;Kichwa;IMBABURA
PUEBLO Otavalo;Kichwa;IMBABURA
PUEBLO Palta;Palta;LOJA
PUEBLO Panzaleo;Kichwa;COTOPAXI / TUNGURAHUA
PUEBLO Puruwá;Kichwa;CHIMBORAZO
PUEBLO Salasaka;Kichwa;TUNGURAHUA
PUEBLO Saraguro;Kichwa;LOJA / ZAMORA CHINCHIPE
PUEBLO Waranka;Kichwa;BOLÍVAR
